"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","isbn","creator","subjects","publisher","publicationyear"
"Digital","OverDrive","AUDIOBOOK","2018","1","5","Jack of Spades (Unabridged)",,"Joyce Carol Oates","Fiction, Thriller","HighBridge Company","2017"
"Physical","Horizon","BOOK","2018","1","3","God gave us thankful hearts / by Lisa Tawn Bergren ; art by David Hohn.",,"Bergren, Lisa Tawn","Gratitude Juvenile fiction, Autumn Juvenile fiction, Seasons Juvenile fiction, Christian life Juvenile fiction, Wolves Juvenile fiction","WaterBrook Press,","2016."
"Physical","Horizon","BOOK","2018","1","2","Mrs. Kormel is not normal! / Dan Gutman ; pictures by Jim Paillot.",,"Gutman, Dan","Bus drivers Juvenile fiction, School buses Juvenile fiction, Schools Fiction, Humorous stories","HarperTrophy,","2006."
"Digital","OverDrive","EBOOK","2018","1","1","Another Summer",,"Georgia Bockoven","Fiction, Literature","HarperCollins Publishers Inc.","2017"
"Digital","OverDrive","AUDIOBOOK","2018","1","1","13 Bullets: A Vampire Tale: Laura Caxton Series, Book 1 (unabridged) (Unabridged)",,"David Wellington","Fantasy, Fiction","Blackstone Audio, Inc.","2010"
"Physical","Horizon","BOOK","2018","1","1","The perfect afternoon tea recipe book : more than 160 classic recipes for sandwiches, pretty cakes and bakes, biscuits, bars, pastries, cupcakes, celebration cakes and glorious gâteaux / Antony Wild and Carol Pastor.",,"Wild, Antony, 1955-","Afternoon teas, Tea, Baking, Cookies, Cake, Cookbooks","Lorenz Books,","[2011]"
"Digital","OverDrive","AUDIOBOOK","2018","1","2","Learn in Your Car Russian Level One (Unabridged)",,"Henry N. Raymond","Foreign Language Study, Foreign Language Study - Russian, Nonfiction","Penton Overseas, Inc.","2006"
"Digital","OverDrive","EBOOK","2018","1","1","The Case of the Missing Moonstone: Wollstonecraft Detective Agency Series, Book 1",,"Jordan Stratford","Historical Fiction, Humor (Fiction), Juvenile Fiction, Mystery","Random House, Inc.","2015"
"Physical","Horizon","VIDEODISC","2018","1","8","Families of Puerto Rico / produced by Eleanor Betting Marquisee ; written by Mark Marquisee.",,,"Families Puerto Rico Juvenile films, Children Puerto Rico Juvenile films, Puerto Rico Social life and customs Juvenile films, Puerto Rico History Juvenile films, Nonfiction films, Childrens films, Video recordings for the hearing impaired","Arden Films : Master Communications,","[2009]"
"Physical","Horizon","BOOK","2018","1","1","Life together : the classic exploration of Christian community / by Dietrich Bonhoeffer ; translated, and with an introduction by John W. Doberstein.",,"Bonhoeffer, Dietrich, 1906-1945","Bible Psalms Criticism interpretation etc, Christian life, Christian communities","HarperOne,","[2009]"
"Digital","Freegal","SONG","2018","1","1","Your Love",,"William Murphy",,,
"Physical","Horizon","BOOK","2018","1","5","Alice's adventures in Wonderland / by Lewis Carroll ; illustrated by Anna Bond.",,"Carroll, Lewis, 1832-1898,","Alice Fictitious character from Carroll Juvenile fiction, Imaginary places Juvenile fiction","Puffin Books,","2015."
"Digital","OverDrive","EBOOK","2018","1","1","The Berenstain Bears and the Ghost of the Forest",,"Stan Berenstain","Juvenile Fiction, Picture Book Fiction","Random House, Inc.","2012"
"Digital","Freegal","SONG","2018","1","1","Death by Misadventure",,"Ted Nugent",,,
"Digital","OverDrive","EBOOK","2018","1","1","The Reiki Manual: A Training Guide for Reiki Students, Practitioners, and Masters",,"Penelope Quest","Health & Fitness, Nonfiction","Penguin Group (USA), Inc.","2013"
"Physical","Horizon","VIDEODISC","2018","1","2","Gokudo heiki = Yakuza weapon / Nikkatsu ; Sushi Typhoon ; producers, Yoshinori Chiba, Syuichi Takashino, Toshiki Kumra ; written by Yudai Yamaguchi, Tak Sakaguchi ; directed by Tak Sakaguchi and Yudai Yamaguchi.",,,"Yakuza Drama, Cyborgs Drama, Action and adventure films, Feature films, Fiction films, Gangster films, Science fiction films, Motion pictures Japanese","Well Go USA,","[2012]"
"Physical","Horizon","SOUNDDISC","2018","1","4","Pachinko / Min Jin Lee.",,"Lee, Min Jin","Families Korea Fiction, Domestic fiction, Audiobooks","Hachette Audio,","[2017]"
"Digital","Hoopla","MOVIE","2018","1","3","Sweet Bean",,,"World","Kino Lorber",
"Physical","Horizon","BOOK","2018","1","1","Kathy Griffin's celebrity run-ins : (my A-Z index) / Kathy Griffin.",,"Griffin, Kathy, 1960-","Griffin Kathy 1960, Comedians United States Biography, Celebrities United States Anecdotes, Autobiographies","Flatiron Books,","2016."
"Physical","Horizon","SOUNDDISC","2018","1","1","The ultimate smooth jazz #1s.",,,"Popular instrumental music 2011 2020","Trippin 'n' Rhythm Records,","[2013]"
"Physical","Horizon","BOOK","2018","1","1","Disney villains : delightfully evil : the creation--the inspiration--the fascination / Jen Darcy.",,"Darcy, Jen, 1976-","Disney Walt 1901 1966 Criticism and interpretation, Pixar Firm, Villains in art, Villains in motion pictures, Villains in popular culture United States","Disney Editions,","2016."
"Digital","OverDrive","EBOOK","2018","1","1","Duck the Halls: Meg Langslow Mystery Series, Book 16",,"Donna Andrews","Fiction, Humor (Fiction), Mystery","Macmillan Publishers","2014"
"Physical","Horizon","BOOK","2018","1","3","Transforming the difficult child : the nurtured heart approach : shifting the intense child to new patterns of success - strengthening all children on the inside / Howard Glasser and Jennifer Easley ; preface by Peter R. Breggin, MD.",,"Glasser, Howard","Problem children Counseling of, Behavior disorders in children, Parenting","Nurtured Heart Publications,","2016."
"Physical","Horizon","BOOK","2018","1","1","A new Aristotle reader / edited by J.L. Ackrill.",,"Aristotle","Philosophy","Princeton University Press,","[1987]"
"Physical","Horizon","SOUNDDISC","2018","1","2","Punk 45 : Burn Rubber City, burn! : Akron, Ohio : punk and the decline of the Mid-West 1975-1980.",,,"Punk rock music, Rock music 1971 1980, Punk rock music Ohio Akron, Rock music Ohio Akron 1971 1980","Soul Jazz Records,","[2015]"
"Digital","OverDrive","EBOOK","2018","1","3","The Staff of Serapis: Percy Jackson & The Kane Chronicles Crossover Series, Book 2",,"Rick Riordan","Fantasy, Mythology, Short Stories, Young Adult Fiction","Disney Digital Books","2016"
"Physical","Horizon","SOUNDDISC","2018","1","1","Rin Tin Tin : [the life and the legend] / Susan Orlean.",,"Orlean, Susan","Rin Tin Tin Dog, German shepherd dog United States Biography, Working dogs United States Biography, Dogs in motion pictures History 20th century, Dogs in the performing arts History 20th century","Simon & Schuster Audio,","[2011]"
"Physical","Horizon","BOOK","2018","1","1","Pʻokso : Kwŏn Chi-ye sosŏl.",,"Kwŏn, Chi-ye, 1960-","Short stories","Munhak Tongne,","2003."
"Physical","Horizon","BOOK","2018","1","3","30 lessons for living : tried and true advice from the wisest Americans / Karl Pillemer.",,"Pillemer, Karl A.","Older people United States Attitudes, Old age, Aging, Happiness, Conduct of life","Hudson Street Press,","[2011]"
"Physical","Horizon","BOOK","2018","1","5","The craving cure : identify your craving type to activate your natural appetite control / Julia Ross.",,"Ross, Julia (Julia Francis), 1945-","Compulsive eating Alternative treatment, Amino acids Therapeutic use","Flatiron Books,","©2017."
"Physical","Horizon","BOOK","2018","1","22","Angry Birds comics. Volume 5, Ruffled feathers.",,,"Angry Birds Game Comic books strips etc, Birds Comic books strips etc, Cartoons and comics, Graphic novels, Humorous comics, Comics Graphic works","IDW Publishing, a division of Idea and Design Works, LLC,","[2016]"
"Physical","Horizon","BOOK","2018","1","2","Hunt for Jade Dragon / Richard Paul Evans.",,"Evans, Richard Paul","Friendship Juvenile fiction, Electricity Juvenile fiction, Tourette syndrome Juvenile fiction, Gifted children Juvenile fiction, Genius Juvenile fiction, Kidnapping Juvenile fiction, Science fiction, Taiwan Juvenile fiction","Mercury Ink/Simon Pulse,","2014."
"Digital","OverDrive","EBOOK","2018","1","1","Something to Hide: A Novel",,"Deborah Moggach","Fiction, Literature","HarperCollins Publishers Inc.","2016"
"Physical","Horizon","BOOK","2018","1","1","24 stories for Advent / Brigitte Weininger, Eve Tharlet ; translated by David Henry Wilson.",,"Weninger, Brigitte","Advent Juvenile fiction, Christmas stories, Christmas Fiction","NorthSouth Books,","2015."
